date_key,full_date,year,month,quarter,week,day_name,is_weekend
20180630,2018-06-30,2018,6,2,26,Saturday,true
20171207,2017-12-07,2017,12,4,49,Thursday,false
20180731,2018-07-31,2018,7,3,31,Tuesday,false
20170511,2017-05-11,2017,5,2,19,Thursday,false
20170319,2017-03-19,2017,3,1,11,Sunday,true
20180323,2018-03-23,2018,3,1,12,Friday,false
20180216,2018-02-16,2018,2,1,7,Friday,false
20180121,2018-01-21,2018,1,1,3,Sunday,true
20180807,2018-08-07,2018,8,3,32,Tuesday,false
20180306,2018-03-06,2018,3,1,10,Tuesday,false
20170802,2017-08-02,2017,8,3,31,Wednesday,false
20180212,2018-02-12,2018,2,1,7,Monday,false
20170327,2017-03-27,2017,3,1,13,Monday,false
20170906,2017-09-06,2017,9,3,36,Wednesday,false
20180815,2018-08-15,2018,8,3,33,Wednesday,false
20180204,2018-02-04,2018,2,1,5,Sunday,true
20180423,2018-04-23,2018,4,2,17,Monday,false
20171013,2017-10-13,2017,10,4,41,Friday,false
20170925,2017-09-25,2017,9,3,39,Monday,false
20170715,2017-07-15,2017,7,3,28,Saturday,true
20170131,2017-01-31,2017,1,1,5,Tuesday,false
20180328,2018-03-28,2018,3,1,13,Wednesday,false
20180305,2018-03-05,2018,3,1,10,Monday,false
20170501,2017-05-01,2017,5,2,18,Monday,false
20180421,2018-04-21,2018,4,2,16,Saturday,true
20170718,2017-07-18,2017,7,3,29,Tuesday,false
20170113,2017-01-13,2017,1,1,2,Friday,false
20170504,2017-05-04,2017,5,2,18,Thursday,false
20161003,2016-10-03,2016,10,4,40,Monday,false
20170729,2017-07-29,2017,7,3,30,Saturday,true
20171226,2017-12-26,2017,12,4,52,Tuesday,false
20180604,2018-06-04,2018,6,2,23,Monday,false
20170406,2017-04-06,2017,4,2,14,Thursday,false
20170330,2017-03-30,2017,3,1,13,Thursday,false
20180206,2018-02-06,2018,2,1,6,Tuesday,false
20180706,2018-07-06,2018,7,3,27,Friday,false
20180123,2018-01-23,2018,1,1,4,Tuesday,false
20180331,2018-03-31,2018,3,1,13,Saturday,true
20180702,2018-07-02,2018,7,3,27,Monday,false
20180415,2018-04-15,2018,4,2,15,Sunday,true
20170616,2017-06-16,2017,6,2,24,Friday,false
20170309,2017-03-09,2017,3,1,10,Thursday,false
20180523,2018-05-23,2018,5,2,21,Wednesday,false
20180131,2018-01-31,2018,1,1,5,Wednesday,false
20180504,2018-05-04,2018,5,2,18,Friday,false
20180211,2018-02-11,2018,2,1,6,Sunday,true
20180507,2018-05-07,2018,5,2,19,Monday,false
20170910,2017-09-10,2017,9,3,36,Sunday,true
20170508,2017-05-08,2017,5,2,19,Monday,false
20180627,2018-06-27,2018,6,2,26,Wednesday,false
20180319,2018-03-19,2018,3,1,12,Monday,false
20171018,2017-10-18,2017,10,4,42,Wednesday,false
20170425,2017-04-25,2017,4,2,17,Tuesday,false
20180310,2018-03-10,2018,3,1,10,Saturday,true
20170324,2017-03-24,2017,3,1,12,Friday,false
20170917,2017-09-17,2017,9,3,37,Sunday,true
20170329,2017-03-29,2017,3,1,13,Wednesday,false
20171001,2017-10-01,2017,10,4,39,Sunday,true
20180218,2018-02-18,2018,2,1,7,Sunday,true
20180207,2018-02-07,2018,2,1,6,Wednesday,false
20170412,2017-04-12,2017,4,2,15,Wednesday,false
20180817,2018-08-17,2018,8,3,33,Friday,false
20170224,2017-02-24,2017,2,1,8,Friday,false
20170119,2017-01-19,2017,1,1,3,Thursday,false
20180714,2018-07-14,2018,7,3,28,Saturday,true
20170601,2017-06-01,2017,6,2,22,Thursday,false
20170214,2017-02-14,2017,2,1,7,Tuesday,false
20170123,2017-01-23,2017,1,1,4,Monday,false
20180715,2018-07-15,2018,7,3,28,Sunday,true
20180826,2018-08-26,2018,8,3,34,Sunday,true
20180122,2018-01-22,2018,1,1,4,Monday,false
20180625,2018-06-25,2018,6,2,26,Monday,false
20180727,2018-07-27,2018,7,3,30,Friday,false
20170427,2017-04-27,2017,4,2,17,Thursday,false
20180603,2018-06-03,2018,6,2,22,Sunday,true
20180222,2018-02-22,2018,2,1,8,Thursday,false
20180124,2018-01-24,2018,1,1,4,Wednesday,false
20170724,2017-07-24,2017,7,3,30,Monday,false
20171201,2017-12-01,2017,12,4,48,Friday,false
20180701,2018-07-01,2018,7,3,26,Sunday,true
20180811,2018-08-11,2018,8,3,32,Saturday,true
20180711,2018-07-11,2018,7,3,28,Wednesday,false
20180524,2018-05-24,2018,5,2,21,Thursday,false
20170623,2017-06-23,2017,6,2,25,Friday,false
20180510,2018-05-10,2018,5,2,19,Thursday,false
20180521,2018-05-21,2018,5,2,21,Monday,false
20170310,2017-03-10,2017,3,1,10,Friday,false
20170531,2017-05-31,2017,5,2,22,Wednesday,false
20180622,2018-06-22,2018,6,2,25,Friday,false
20170226,2017-02-26,2017,2,1,8,Sunday,true
20180321,2018-03-21,2018,3,1,12,Wednesday,false
20170525,2017-05-25,2017,5,2,21,Thursday,false
